community,month,monthlyav,year,Sani_Q,av_II_Q,FY,desc,actual,max_MGD,max_II_Q
Brookline,Apr,12.183333333333334,16-18,4.2,7.983333333333333,FY20,FY20 Actuals,TRUE,12.183333333333334,7.983333333333333
Brookline,Aug,5.3133333333333335,16-18,4.2,1.1133333333333333,FY20,FY20 Actuals,TRUE,12.183333333333334,7.983333333333333
Brookline,Dec,7.52,16-18,4.2,3.3199999999999994,FY20,FY20 Actuals,TRUE,12.183333333333334,7.983333333333333
Brookline,Feb,9.586666666666668,16-18,4.2,5.386666666666668,FY20,FY20 Actuals,TRUE,12.183333333333334,7.983333333333333
Brookline,Jan,9.346666666666666,16-18,4.2,5.146666666666666,FY20,FY20 Actuals,TRUE,12.183333333333334,7.983333333333333
Brookline,Jul,5.71,16-18,4.2,1.5099999999999998,FY20,FY20 Actuals,TRUE,12.183333333333334,7.983333333333333
Brookline,Jun,6.943333333333333,16-18,4.2,2.743333333333333,FY20,FY20 Actuals,TRUE,12.183333333333334,7.983333333333333
Brookline,Mar,10.313333333333333,16-18,4.2,6.113333333333332,FY20,FY20 Actuals,TRUE,12.183333333333334,7.983333333333333
Brookline,May,8.153333333333334,16-18,4.2,3.953333333333334,FY20,FY20 Actuals,TRUE,12.183333333333334,7.983333333333333
Brookline,Nov,9.5,16-18,4.2,5.3,FY20,FY20 Actuals,TRUE,12.183333333333334,7.983333333333333
Brookline,Oct,6.496666666666666,16-18,4.2,2.296666666666666,FY20,FY20 Actuals,TRUE,12.183333333333334,7.983333333333333
Brookline,Sep,5.67,16-18,4.2,1.4699999999999998,FY20,FY20 Actuals,TRUE,12.183333333333334,7.983333333333333
Burlington,Apr,5.03,16-18,2,3.0300000000000002,FY20,FY20 Actuals,TRUE,5.03,3.0300000000000002
Burlington,Aug,2.506666666666667,16-18,2,0.5066666666666668,FY20,FY20 Actuals,TRUE,5.03,3.0300000000000002
Burlington,Dec,3.48,16-18,2,1.48,FY20,FY20 Actuals,TRUE,5.03,3.0300000000000002
Burlington,Feb,4.013333333333334,16-18,2,2.0133333333333336,FY20,FY20 Actuals,TRUE,5.03,3.0300000000000002
Burlington,Jan,3.77,16-18,2,1.77,FY20,FY20 Actuals,TRUE,5.03,3.0300000000000002
Burlington,Jul,2.6733333333333333,16-18,2,0.6733333333333333,FY20,FY20 Actuals,TRUE,5.03,3.0300000000000002
Burlington,Jun,3.2066666666666666,16-18,2,1.2066666666666666,FY20,FY20 Actuals,TRUE,5.03,3.0300000000000002
Burlington,Mar,4.48,16-18,2,2.4800000000000004,FY20,FY20 Actuals,TRUE,5.03,3.0300000000000002
Burlington,May,3.873333333333333,16-18,2,1.873333333333333,FY20,FY20 Actuals,TRUE,5.03,3.0300000000000002
Burlington,Nov,3.6566666666666667,16-18,2,1.6566666666666667,FY20,FY20 Actuals,TRUE,5.03,3.0300000000000002
Burlington,Oct,2.6633333333333336,16-18,2,0.6633333333333336,FY20,FY20 Actuals,TRUE,5.03,3.0300000000000002
Burlington,Sep,2.506666666666667,16-18,2,0.5066666666666668,FY20,FY20 Actuals,TRUE,5.03,3.0300000000000002
Cambridge,Apr,20.883333333333333,16-18,11.5,9.383333333333333,FY20,FY20 Actuals,TRUE,20.883333333333333,9.383333333333333
Cambridge,Aug,16.876666666666665,16-18,11.5,5.376666666666665,FY20,FY20 Actuals,TRUE,20.883333333333333,9.383333333333333
Cambridge,Dec,15.956666666666667,16-18,11.5,4.456666666666667,FY20,FY20 Actuals,TRUE,20.883333333333333,9.383333333333333
Cambridge,Feb,17.616666666666667,16-18,11.5,6.116666666666667,FY20,FY20 Actuals,TRUE,20.883333333333333,9.383333333333333
Cambridge,Jan,17.673333333333332,16-18,11.5,6.173333333333332,FY20,FY20 Actuals,TRUE,20.883333333333333,9.383333333333333
Cambridge,Jul,16.816666666666666,16-18,11.5,5.316666666666666,FY20,FY20 Actuals,TRUE,20.883333333333333,9.383333333333333
Cambridge,Jun,17.49,16-18,11.5,5.989999999999998,FY20,FY20 Actuals,TRUE,20.883333333333333,9.383333333333333
Cambridge,Mar,18.71666666666667,16-18,11.5,7.216666666666669,FY20,FY20 Actuals,TRUE,20.883333333333333,9.383333333333333
Cambridge,May,18.35333333333333,16-18,11.5,6.853333333333332,FY20,FY20 Actuals,TRUE,20.883333333333333,9.383333333333333
Cambridge,Nov,19.093333333333334,16-18,11.5,7.593333333333334,FY20,FY20 Actuals,TRUE,20.883333333333333,9.383333333333333
Cambridge,Oct,17.696666666666665,16-18,11.5,6.196666666666665,FY20,FY20 Actuals,TRUE,20.883333333333333,9.383333333333333
Cambridge,Sep,16.89666666666667,16-18,11.5,5.396666666666668,FY20,FY20 Actuals,TRUE,20.883333333333333,9.383333333333333
Canton,Apr,4.033333333333333,16-18,1.4,2.6333333333333333,FY20,FY20 Actuals,TRUE,4.033333333333333,2.6333333333333333
Canton,Aug,2.1999999999999997,16-18,1.4,0.7999999999999998,FY20,FY20 Actuals,TRUE,4.033333333333333,2.6333333333333333
Canton,Dec,2.96,16-18,1.4,1.56,FY20,FY20 Actuals,TRUE,4.033333333333333,2.6333333333333333
Canton,Feb,3.52,16-18,1.4,2.12,FY20,FY20 Actuals,TRUE,4.033333333333333,2.6333333333333333
Canton,Jan,3.4033333333333333,16-18,1.4,2.0033333333333334,FY20,FY20 Actuals,TRUE,4.033333333333333,2.6333333333333333
Canton,Jul,2.283333333333333,16-18,1.4,0.8833333333333333,FY20,FY20 Actuals,TRUE,4.033333333333333,2.6333333333333333
Canton,Jun,2.56,16-18,1.4,1.1600000000000001,FY20,FY20 Actuals,TRUE,4.033333333333333,2.6333333333333333
Canton,Mar,3.763333333333333,16-18,1.4,2.3633333333333333,FY20,FY20 Actuals,TRUE,4.033333333333333,2.6333333333333333
Canton,May,2.94,16-18,1.4,1.54,FY20,FY20 Actuals,TRUE,4.033333333333333,2.6333333333333333
Canton,Nov,3.513333333333333,16-18,1.4,2.1133333333333333,FY20,FY20 Actuals,TRUE,4.033333333333333,2.6333333333333333
Canton,Oct,2.71,16-18,1.4,1.31,FY20,FY20 Actuals,TRUE,4.033333333333333,2.6333333333333333
Canton,Sep,2.376666666666667,16-18,1.4,0.976666666666667,FY20,FY20 Actuals,TRUE,4.033333333333333,2.6333333333333333
Chelsea,Apr,6.550000000000001,16-18,3,3.5500000000000007,FY20,FY20 Actuals,TRUE,6.550000000000001,3.5500000000000007
Chelsea,Aug,4.4399999999999995,16-18,3,1.4399999999999995,FY20,FY20 Actuals,TRUE,6.550000000000001,3.5500000000000007
Chelsea,Dec,5.0633333333333335,16-18,3,2.0633333333333335,FY20,FY20 Actuals,TRUE,6.550000000000001,3.5500000000000007
Chelsea,Feb,5.693333333333333,16-18,3,2.6933333333333334,FY20,FY20 Actuals,TRUE,6.550000000000001,3.5500000000000007
Chelsea,Jan,5.523333333333333,16-18,3,2.5233333333333334,FY20,FY20 Actuals,TRUE,6.550000000000001,3.5500000000000007
Chelsea,Jul,4.723333333333333,16-18,3,1.7233333333333327,FY20,FY20 Actuals,TRUE,6.550000000000001,3.5500000000000007
Chelsea,Jun,4.963333333333333,16-18,3,1.963333333333333,FY20,FY20 Actuals,TRUE,6.550000000000001,3.5500000000000007
Chelsea,Mar,6.3566666666666665,16-18,3,3.3566666666666665,FY20,FY20 Actuals,TRUE,6.550000000000001,3.5500000000000007
Chelsea,May,5.036666666666666,16-18,3,2.036666666666666,FY20,FY20 Actuals,TRUE,6.550000000000001,3.5500000000000007
Chelsea,Nov,5.8500000000000005,16-18,3,2.8500000000000005,FY20,FY20 Actuals,TRUE,6.550000000000001,3.5500000000000007
Chelsea,Oct,5.1499999999999995,16-18,3,2.1499999999999995,FY20,FY20 Actuals,TRUE,6.550000000000001,3.5500000000000007
Chelsea,Sep,4.676666666666667,16-18,3,1.6766666666666667,FY20,FY20 Actuals,TRUE,6.550000000000001,3.5500000000000007
Dedham,Apr,5.743333333333333,16-18,1.8,3.9433333333333334,FY20,FY20 Actuals,TRUE,5.743333333333333,3.9433333333333334
Dedham,Aug,2.256666666666667,16-18,1.7666666666666666,0.4900000000000002,FY20,FY20 Actuals,TRUE,5.743333333333333,3.9766666666666666
Dedham,Dec,3.5,16-18,1.8,1.7,FY20,FY20 Actuals,TRUE,5.743333333333333,3.9433333333333334
Dedham,Feb,4.656666666666666,16-18,1.8,2.8566666666666665,FY20,FY20 Actuals,TRUE,5.743333333333333,3.9433333333333334
Dedham,Jan,4.193333333333333,16-18,1.8,2.3933333333333335,FY20,FY20 Actuals,TRUE,5.743333333333333,3.9433333333333334
Dedham,Jul,2.453333333333333,16-18,1.8,0.6533333333333331,FY20,FY20 Actuals,TRUE,5.743333333333333,3.9433333333333334
Dedham,Jun,3.2266666666666666,16-18,1.8,1.4266666666666665,FY20,FY20 Actuals,TRUE,5.743333333333333,3.9433333333333334
Dedham,Mar,5.2299999999999995,16-18,1.8,3.4299999999999997,FY20,FY20 Actuals,TRUE,5.743333333333333,3.9433333333333334
Dedham,May,3.9699999999999998,16-18,1.8,2.17,FY20,FY20 Actuals,TRUE,5.743333333333333,3.9433333333333334
Dedham,Nov,4.136666666666667,16-18,1.8,2.336666666666667,FY20,FY20 Actuals,TRUE,5.743333333333333,3.9433333333333334
Dedham,Oct,2.75,16-18,1.8,0.95,FY20,FY20 Actuals,TRUE,5.743333333333333,3.9433333333333334
Dedham,Sep,2.31,16-18,1.7666666666666666,0.5433333333333334,FY20,FY20 Actuals,TRUE,5.743333333333333,3.9766666666666666
Everett,Apr,6.630000000000001,16-18,3.2,3.4300000000000006,FY20,FY20 Actuals,TRUE,6.630000000000001,3.4300000000000006
Everett,Aug,4.523333333333333,16-18,3.2,1.3233333333333333,FY20,FY20 Actuals,TRUE,6.630000000000001,3.4300000000000006
Everett,Dec,5.483333333333333,16-18,3.2,2.283333333333333,FY20,FY20 Actuals,TRUE,6.630000000000001,3.4300000000000006
Everett,Feb,5.866666666666666,16-18,3.2,2.666666666666666,FY20,FY20 Actuals,TRUE,6.630000000000001,3.4300000000000006
Everett,Jan,5.836666666666667,16-18,3.2,2.6366666666666667,FY20,FY20 Actuals,TRUE,6.630000000000001,3.4300000000000006
Everett,Jul,4.663333333333334,16-18,3.2,1.4633333333333338,FY20,FY20 Actuals,TRUE,6.630000000000001,3.4300000000000006
Everett,Jun,4.873333333333333,16-18,3.2,1.673333333333333,FY20,FY20 Actuals,TRUE,6.630000000000001,3.4300000000000006
Everett,Mar,6.2700000000000005,16-18,3.2,3.0700000000000003,FY20,FY20 Actuals,TRUE,6.630000000000001,3.4300000000000006
Everett,May,5.23,16-18,3.2,2.0300000000000002,FY20,FY20 Actuals,TRUE,6.630000000000001,3.4300000000000006
Everett,Nov,6.303333333333334,16-18,3.2,3.1033333333333335,FY20,FY20 Actuals,TRUE,6.630000000000001,3.4300000000000006
Everett,Oct,5.053333333333334,16-18,3.2,1.8533333333333335,FY20,FY20 Actuals,TRUE,6.630000000000001,3.4300000000000006
Everett,Sep,4.6000000000000005,16-18,3.2,1.4000000000000004,FY20,FY20 Actuals,TRUE,6.630000000000001,3.4300000000000006
Framingham,Apr,9.6466666666666665,16-18,4.8,4.846666666666667,FY20,FY20 Actuals,TRUE,9.6466666666666665,4.846666666666667
Framingham,Aug,5.8100000000000005,16-18,4.8,1.0100000000000007,FY20,FY20 Actuals,TRUE,9.6466666666666665,4.846666666666667
Framingham,Dec,7.076666666666666,16-18,4.8,2.2766666666666664,FY20,FY20 Actuals,TRUE,9.6466666666666665,4.846666666666667
Framingham,Feb,8.386666666666667,16-18,4.8,3.586666666666667,FY20,FY20 Actuals,TRUE,9.6466666666666665,4.846666666666667
Framingham,Jan,7.8933333333333335,16-18,4.8,3.0933333333333337,FY20,FY20 Actuals,TRUE,9.6466666666666665,4.846666666666667
Framingham,Jul,5.87,16-18,4.8,1.0700000000000003,FY20,FY20 Actuals,TRUE,9.6466666666666665,4.846666666666667
