community,month,monthlyav,year,Sani_Q,II_Q,FY,CY20_meth,actual
Hingham,Sep,0.8411111111111111,18-20,0.5,0.34111111111111114,FY22,3yr ave (2019x2),FALSE
Holbrook,Apr,1.1788888888888889,18-20,0.5,0.6788888888888889,FY22,3yr ave (2019x2),FALSE
Holbrook,Aug,0.7077777777777778,18-20,0.5,0.20777777777777784,FY22,3yr ave (2019x2),FALSE
Holbrook,Dec,1.111111111111111,18-20,0.5,0.6111111111111109,FY22,3yr ave (2019x2),FALSE
Holbrook,Feb,1.0733333333333333,18-20,0.5,0.5733333333333333,FY22,3yr ave (2019x2),FALSE
Holbrook,Jan,1.0533333333333335,18-20,0.5,0.5533333333333335,FY22,3yr ave (2019x2),FALSE
Holbrook,Jul,0.7477777777777778,18-20,0.5,0.24777777777777776,FY22,3yr ave (2019x2),FALSE
Holbrook,Jun,0.8,18-20,0.5,0.30000000000000004,FY22,3yr ave (2019x2),FALSE
Holbrook,Mar,1.2433333333333334,18-20,0.5,0.7433333333333334,FY22,3yr ave (2019x2),FALSE
Holbrook,May,0.981111111111111,18-20,0.5,0.48111111111111104,FY22,3yr ave (2019x2),FALSE
Holbrook,Nov,1.1011111111111112,18-20,0.5,0.6011111111111112,FY22,3yr ave (2019x2),FALSE
Holbrook,Oct,0.8077777777777778,18-20,0.5,0.3077777777777778,FY22,3yr ave (2019x2),FALSE
Holbrook,Sep,0.6866666666666666,18-20,0.5,0.18666666666666665,FY22,3yr ave (2019x2),FALSE
Lexington,Apr,8.074444444444445,18-20,2.2,5.874444444444445,FY22,3yr ave (2019x2),FALSE
Lexington,Aug,3.4255555555555555,18-20,2.2,1.2255555555555553,FY22,3yr ave (2019x2),FALSE
Lexington,Dec,6.38,18-20,2.2,4.18,FY22,3yr ave (2019x2),FALSE
Lexington,Feb,6.358888888888889,18-20,2.2,4.158888888888889,FY22,3yr ave (2019x2),FALSE
Lexington,Jan,5.3500000000000005,18-20,2.2,3.1500000000000004,FY22,3yr ave (2019x2),FALSE
Lexington,Jul,3.8788888888888886,18-20,2.2,1.6788888888888884,FY22,3yr ave (2019x2),FALSE
Lexington,Jun,4.076666666666667,18-20,2.2,1.876666666666667,FY22,3yr ave (2019x2),FALSE
Lexington,Mar,7.502222222222222,18-20,2.2,5.3022222222222215,FY22,3yr ave (2019x2),FALSE
Lexington,May,6.411111111111111,18-20,2.2,4.211111111111111,FY22,3yr ave (2019x2),FALSE
Lexington,Nov,6.609999999999999,18-20,2.2,4.409999999999999,FY22,3yr ave (2019x2),FALSE
Lexington,Oct,3.9722222222222228,18-20,2.2,1.7722222222222226,FY22,3yr ave (2019x2),FALSE
Lexington,Sep,3.4811111111111113,18-20,2.2,1.281111111111111,FY22,3yr ave (2019x2),FALSE
Malden,Apr,10.758888888888889,18-20,4.9,5.858888888888888,FY22,3yr ave (2019x2),FALSE
Malden,Aug,7.39,18-20,4.9,2.4899999999999993,FY22,3yr ave (2019x2),FALSE
Malden,Dec,10.596666666666668,18-20,4.9,5.696666666666667,FY22,3yr ave (2019x2),FALSE
Malden,Feb,10.29,18-20,4.9,5.389999999999999,FY22,3yr ave (2019x2),FALSE
Malden,Jan,9.628888888888888,18-20,4.9,4.728888888888887,FY22,3yr ave (2019x2),FALSE
Malden,Jul,7.448888888888889,18-20,4.9,2.5488888888888885,FY22,3yr ave (2019x2),FALSE
Malden,Jun,7.7588888888888885,18-20,4.9,2.858888888888888,FY22,3yr ave (2019x2),FALSE
Malden,Mar,11.338888888888889,18-20,4.9,6.438888888888888,FY22,3yr ave (2019x2),FALSE
Malden,May,8.88111111111111,18-20,4.9,3.98111111111111,FY22,3yr ave (2019x2),FALSE
Malden,Nov,11.067777777777778,18-20,4.9,6.167777777777777,FY22,3yr ave (2019x2),FALSE
